id,monster_name,description,element,growth_type,base_model_path,part_head,part_back,part_tail,palette_index,scale_x,scale_y,scale_z,base_max_hp,base_max_mp,base_attack,base_defense,base_magic,base_speed,hunger_rate,energy_rate,favorite_food,evolution_ids,evolution_level
101,グランバード,【第1形態】グランバード。古代より伝わるグランの力を宿すモンスター。,5,2,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,,4,1.03,1.03,1.03,67,38,25,31,22,19,1.0,1.04,1,301,15
102,ゼファーグリフ,【第1形態】ゼファーグリフ。古代より伝わるゼファーの力を宿すモンスター。,6,0,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,res://assets/models/parts/tail_spike.tscn,13,1.03,1.03,1.03,68,33,32,18,24,27,1.15,1.19,2,302,15
103,オーラタイガー,【第1形態】オーラタイガー。古代より伝わるオーラの力を宿すモンスター。,7,1,res://assets/models/bases/base_quadruped.tscn,,,res://assets/models/parts/tail_spike.tscn,6,0.97,0.97,0.97,73,36,28,26,28,22,1.14,1.14,3,303,15
104,ファントムガル,【第1形態】ファントムガル。古代より伝わるファントムの力を宿すモンスター。,8,2,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horn_single.tscn,,res://assets/models/parts/tail_spike.tscn,7,0.99,0.99,0.99,66,39,27,19,29,21,1.2,1.1,0,304,15
105,ヴォルカリッチ,【第1形態】ヴォルカリッチ。古代より伝わるヴォルカの力を宿すモンスター。,1,0,res://assets/models/bases/base_biped.tscn,,,,8,0.99,0.99,0.99,62,33,35,20,26,17,0.82,1.12,1,305,15
106,オーシャンコブラ,【第1形態】オーシャンコブラ。古代より伝わるオーシャンの力を宿すモンスター。,2,1,res://assets/models/bases/base_biped.tscn,,,res://assets/models/parts/tail_spike.tscn,1,0.98,0.98,0.98,66,43,25,21,31,19,0.87,0.83,2,306,15
107,ドリアードコロ,【第1形態】ドリアードコロ。古代より伝わるドリアードの力を宿すモンスター。,3,2,res://assets/models/bases/base_biped.tscn,,,,2,1.03,1.03,1.03,78,35,30,23,25,24,1.06,0.98,3,307,15
108,ライデンペガサス,【第1形態】ライデンペガサス。古代より伝わるライデンの力を宿すモンスター。,4,0,res://assets/models/bases/base_floating.tscn,res://assets/models/parts/horn_single.tscn,res://assets/models/parts/wings_angel.tscn,res://assets/models/parts/tail_spike.tscn,11,1.01,1.01,1.01,73,39,27,20,23,30,1.18,1.2,0,308,15
109,ストーンビースト,【第1形態】ストーンビースト。古代より伝わるストーンの力を宿すモンスター。,5,1,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,4,0.98,0.98,0.98,67,36,30,28,25,23,1.14,0.84,1,309,15
110,テンペストタートル,【第1形態】テンペストタートル。古代より伝わるテンペストの力を宿すモンスター。,6,2,res://assets/models/bases/base_quadruped.tscn,,,,5,0.99,0.99,0.99,66,41,29,22,22,27,0.91,1.03,2,310,15
111,グローリーナイト,【第1形態】グローリーナイト。古代より伝わるグローリーの力を宿すモンスター。,7,0,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horn_single.tscn,,,14,1.01,1.01,1.01,72,32,30,24,30,22,0.89,0.88,3,311,15
112,ノワールクロウ,【第1形態】ノワールクロウ。古代より伝わるノワールの力を宿すモンスター。,8,1,res://assets/models/bases/base_biped.tscn,,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,7,0.98,0.98,0.98,73,34,28,18,30,24,0.81,0.95,0,312,15
113,ヒートノッコ,【第1形態】ヒートノッコ。古代より伝わるヒートの力を宿すモンスター。,1,2,res://assets/models/bases/base_biped.tscn,,,,0,0.97,0.97,0.97,65,37,34,20,25,19,1.11,1.15,1,313,15
114,フロストフェアリー,【第1形態】フロストフェアリー。古代より伝わるフロストの力を宿すモンスター。,2,0,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,,9,0.99,0.99,0.99,69,41,25,22,32,21,1.1,0.94,2,314,15
115,モスパピー,【第1形態】モスパピー。古代より伝わるモスの力を宿すモンスター。,3,1,res://assets/models/bases/base_quadruped.tscn,,,res://assets/models/parts/tail_spike.tscn,2,0.97,0.97,0.97,70,34,26,27,27,18,1.12,0.81,3,315,15
116,プラズマケルベ,【第1形態】プラズマケルベ。古代より伝わるプラズマの力を宿すモンスター。,4,2,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,3,1.0,1.0,1.0,68,37,27,24,27,24,1.07,0.99,0,316,15
117,テラドラコ,【第1形態】テラドラコ。古代より伝わるテラの力を宿すモンスター。,5,0,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,12,1.01,1.01,1.01,69,37,26,25,29,21,1.06,0.85,1,317,15
118,ファルコンホーン,【第1形態】ファルコンホーン。古代より伝わるファルコンの力を宿すモンスター。,6,1,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,,,5,0.96,0.96,0.96,61,36,32,19,23,24,1.15,0.85,2,318,15
119,セレスモグ,【第1形態】セレスモグ。古代より伝わるセレスの力を宿すモンスター。,7,2,res://assets/models/bases/base_biped.tscn,,,,6,1.0,1.0,1.0,71,40,29,22,33,18,1.13,1.05,3,319,15
120,ドゥームピクシー,【第1形態】ドゥームピクシー。古代より伝わるドゥームの力を宿すモンスター。,8,0,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,,15,1.04,1.04,1.04,65,32,32,21,33,24,1.18,1.14,0,320,15
121,イグニスポロン,【第1形態】イグニスポロン。古代より伝わるイグニスの力を宿すモンスター。,1,1,res://assets/models/bases/base_floating.tscn,,,,0,0.97,0.97,0.97,71,37,33,18,28,21,0.88,0.85,1,321,15
122,シレーヌベア,【第1形態】シレーヌベア。古代より伝わるシレーヌの力を宿すモンスター。,2,2,res://assets/models/bases/base_quadruped.tscn,,,,1,1.03,1.03,1.03,68,38,26,18,25,22,0.9,0.85,2,322,15
123,トレントモコ,【第1形態】トレントモコ。古代より伝わるトレントの力を宿すモンスター。,3,0,res://assets/models/bases/base_quadruped.tscn,,,,10,1.01,1.01,1.01,70,40,26,24,25,22,1.11,1.12,3,323,15
124,ジゴワットゴブ,【第1形態】ジゴワットゴブ。古代より伝わるジゴワットの力を宿すモンスター。,4,1,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horn_single.tscn,,,3,1.01,1.01,1.01,65,34,25,22,24,24,1.06,0.81,0,324,15
125,バサルトダイナ,【第1形態】バサルトダイナ。古代より伝わるバサルトの力を宿すモンスター。,5,2,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,4,0.96,0.96,0.96,73,35,28,24,24,21,0.82,1.1,1,325,15
126,スカイバット,【第1形態】スカイバット。古代より伝わるスカイの力を宿すモンスター。,6,0,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_dragon.tscn,,13,1.0,1.0,1.0,72,33,32,25,27,29,1.04,0.98,2,326,15
127,ソレイユペガサス,【第1形態】ソレイユペガサス。古代より伝わるソレイユの力を宿すモンスター。,7,1,res://assets/models/bases/base_floating.tscn,res://assets/models/parts/horn_single.tscn,res://assets/models/parts/wings_angel.tscn,res://assets/models/parts/tail_spike.tscn,6,0.98,0.98,0.98,70,32,27,27,27,17,1.2,1.14,3,327,15
128,シャドウビースト,【第1形態】シャドウビースト。古代より伝わるシャドウの力を宿すモンスター。,8,2,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,7,0.99,0.99,0.99,62,39,34,19,27,22,1.04,0.83,0,328,15
129,フレイムタートル,【第1形態】フレイムタートル。古代より伝わるフレイムの力を宿すモンスター。,1,0,res://assets/models/bases/base_quadruped.tscn,,,,8,0.98,0.98,0.98,71,41,33,24,26,24,1.0,0.97,1,329,15
130,アクアナイト,【第1形態】アクアナイト。古代より伝わるアクアの力を宿すモンスター。,2,1,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horn_single.tscn,,,1,1.02,1.02,1.02,62,45,26,24,32,20,0.97,1.13,2,330,15
131,リーフクロウ,【第1形態】リーフクロウ。古代より伝わるリーフの力を宿すモンスター。,3,2,res://assets/models/bases/base_biped.tscn,,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,2,0.99,0.99,0.99,80,33,28,27,27,21,0.95,0.86,3,331,15
132,サンダーコロ,【第1形態】サンダーコロ。古代より伝わるサンダーの力を宿すモンスター。,4,0,res://assets/models/bases/base_biped.tscn,,,,11,1.03,1.03,1.03,62,33,24,19,28,24,1.1,0.95,0,332,15
133,ガイアワイバーン,【第1形態】ガイアワイバーン。古代より伝わるガイアの力を宿すモンスター。,5,1,res://assets/models/bases/base_floating.tscn,res://assets/models/parts/horns_dual.tscn,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,4,0.97,0.97,0.97,61,41,28,25,28,22,1.15,1.18,1,333,15
134,ウインドフォックス,【第1形態】ウインドフォックス。古代より伝わるウインドの力を宿すモンスター。,6,2,res://assets/models/bases/base_quadruped.tscn,,,res://assets/models/parts/tail_spike.tscn,5,0.99,0.99,0.99,72,32,29,22,27,22,1.03,0.89,2,334,15
135,ホーリーキマイラ,【第1形態】ホーリーキマイラ。古代より伝わるホーリーの力を宿すモンスター。,7,0,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horns_dual.tscn,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,14,1.01,1.01,1.01,64,33,28,25,28,21,1.03,1.12,3,335,15
136,ダークレクス,【第1形態】ダークレクス。古代より伝わるダークの力を宿すモンスター。,8,1,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,7,1.03,1.03,1.03,73,41,27,22,26,19,0.91,1.1,0,336,15
137,マグマファング,【第1形態】マグマファング。古代より伝わるマグマの力を宿すモンスター。,1,2,res://assets/models/bases/base_biped.tscn,,,res://assets/models/parts/tail_spike.tscn,0,1.03,1.03,1.03,66,32,30,20,28,18,0.86,1.05,1,337,15
138,マリンタモ,【第1形態】マリンタモ。古代より伝わるマリンの力を宿すモンスター。,2,0,res://assets/models/bases/base_biped.tscn,,,,9,0.96,0.96,0.96,72,45,26,24,31,24,0.94,0.95,2,338,15
139,フォレストピクシー,【第1形態】フォレストピクシー。古代より伝わるフォレストの力を宿すモンスター。,3,1,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,,2,1.02,1.02,1.02,81,41,24,21,24,19,1.1,0.82,3,339,15
140,ボルトポロン,【第1形態】ボルトポロン。古代より伝わるボルトの力を宿すモンスター。,4,2,res://assets/models/bases/base_floating.tscn,,,,3,0.97,0.97,0.97,68,38,30,25,28,27,0.89,1.0,0,340,15
141,ゴーレムベア,【第1形態】ゴーレムベア。古代より伝わるゴーレムの力を宿すモンスター。,5,0,res://assets/models/bases/base_quadruped.tscn,,,,12,0.99,0.99,0.99,62,36,30,28,22,20,0.96,1.04,1,341,15
142,ゲイルモコ,【第1形態】ゲイルモコ。古代より伝わるゲイルの力を宿すモンスター。,6,1,res://assets/models/bases/base_quadruped.tscn,,,,5,0.96,0.96,0.96,65,35,27,22,26,26,0.85,1.0,2,342,15
143,シャインゴブ,【第1形態】シャインゴブ。古代より伝わるシャインの力を宿すモンスター。,7,2,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horn_single.tscn,,,6,0.99,0.99,0.99,63,38,26,25,28,23,1.14,0.82,3,343,15
144,カオスモグ,【第1形態】カオスモグ。古代より伝わるカオスの力を宿すモンスター。,8,0,res://assets/models/bases/base_biped.tscn,,,,15,0.96,0.96,0.96,62,37,33,24,32,21,0.85,0.81,0,344,15
145,バーンバード,【第1形態】バーンバード。古代より伝わるバーンの力を宿すモンスター。,1,1,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,,0,0.99,0.99,0.99,73,41,35,23,23,23,1.14,0.9,1,345,15
146,ハイドログリフ,【第1形態】ハイドログリフ。古代より伝わるハイドロの力を宿すモンスター。,2,2,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,res://assets/models/parts/tail_spike.tscn,1,1.01,1.01,1.01,69,38,29,22,30,20,0.93,0.87,2,346,15
147,シルフタイガー,【第1形態】シルフタイガー。古代より伝わるシルフの力を宿すモンスター。,3,0,res://assets/models/bases/base_quadruped.tscn,,,res://assets/models/parts/tail_spike.tscn,10,1.0,1.0,1.0,70,40,26,26,27,19,0.89,0.86,3,347,15
148,ライトニガル,【第1形態】ライトニガル。古代より伝わるライトニの力を宿すモンスター。,4,1,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horn_single.tscn,,res://assets/models/parts/tail_spike.tscn,3,0.98,0.98,0.98,70,34,24,20,29,30,1.1,1.1,0,348,15
149,アースリッチ,【第1形態】アースリッチ。古代より伝わるアースの力を宿すモンスター。,5,2,res://assets/models/bases/base_biped.tscn,,,,4,1.0,1.0,1.0,70,41,28,29,24,24,0.83,0.98,1,349,15
150,エアロコブラ,【第1形態】エアロコブラ。古代より伝わるエアロの力を宿すモンスター。,6,0,res://assets/models/bases/base_biped.tscn,,,res://assets/models/parts/tail_spike.tscn,13,0.98,0.98,0.98,65,41,25,23,23,25,0.98,0.82,2,350,15
151,ルミナスコロ,【第1形態】ルミナスコロ。古代より伝わるルミナスの力を宿すモンスター。,7,1,res://assets/models/bases/base_biped.tscn,,,,6,0.99,0.99,0.99,65,33,24,26,34,25,1.18,1.1,3,351,15
152,ネクロワイバーン,【第1形態】ネクロワイバーン。古代より伝わるネクロの力を宿すモンスター。,8,2,res://assets/models/bases/base_floating.tscn,res://assets/models/parts/horns_dual.tscn,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,7,0.96,0.96,0.96,73,41,30,23,33,25,0.86,0.82,0,352,15
153,サラマンフォックス,【第1形態】サラマンフォックス。古代より伝わるサラマンの力を宿すモンスター。,1,0,res://assets/models/bases/base_quadruped.tscn,,,res://assets/models/parts/tail_spike.tscn,8,0.97,0.97,0.97,66,33,30,18,25,24,1.2,1.01,1,353,15
154,リヴァイキマイラ,【第1形態】リヴァイキマイラ。古代より伝わるリヴァイの力を宿すモンスター。,2,1,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horns_dual.tscn,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,1,1.01,1.01,1.01,66,42,27,24,31,22,1.07,0.82,2,354,15
155,ウッドレクス,【第1形態】ウッドレクス。古代より伝わるウッドの力を宿すモンスター。,3,2,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,2,1.01,1.01,1.01,74,33,28,22,28,21,0.9,1.14,3,355,15
156,スパーククロウ,【第1形態】スパーククロウ。古代より伝わるスパークの力を宿すモンスター。,4,0,res://assets/models/bases/base_biped.tscn,,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,11,1.04,1.04,1.04,70,34,28,19,24,28,0.92,1.06,0,356,15
157,クエイクノッコ,【第1形態】クエイクノッコ。古代より伝わるクエイクの力を宿すモンスター。,5,1,res://assets/models/bases/base_biped.tscn,,,,4,1.01,1.01,1.01,63,41,24,28,28,22,1.13,1.07,1,357,15
158,ストームフェアリー,【第1形態】ストームフェアリー。古代より伝わるストームの力を宿すモンスター。,6,2,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,,5,1.03,1.03,1.03,72,40,26,24,27,21,0.95,0.87,2,358,15
159,セラフパピー,【第1形態】セラフパピー。古代より伝わるセラフの力を宿すモンスター。,7,0,res://assets/models/bases/base_quadruped.tscn,,,res://assets/models/parts/tail_spike.tscn,14,0.98,0.98,0.98,73,39,26,23,29,19,0.83,1.14,3,359,15
160,アビスケルベ,【第1形態】アビスケルベ。古代より伝わるアビスの力を宿すモンスター。,8,1,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,7,0.97,0.97,0.97,73,40,27,23,28,23,0.86,0.87,0,360,15
161,クリムゾンドラコ,【第1形態】クリムゾンドラコ。古代より伝わるクリムゾンの力を宿すモンスター。,1,2,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,0,1.02,1.02,1.02,70,34,35,18,28,22,1.07,0.9,1,361,15
162,タイダルホーン,【第1形態】タイダルホーン。古代より伝わるタイダルの力を宿すモンスター。,2,0,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,,,9,1.0,1.0,1.0,65,44,26,21,29,24,1.16,0.88,2,362,15
163,ブルームモグ,【第1形態】ブルームモグ。古代より伝わるブルームの力を宿すモンスター。,3,1,res://assets/models/bases/base_biped.tscn,,,,2,1.01,1.01,1.01,78,39,30,25,28,25,1.01,1.19,3,363,15
164,エレクトラバード,【第1形態】エレクトラバード。古代より伝わるエレクトラの力を宿すモンスター。,4,2,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,,3,1.03,1.03,1.03,73,41,25,22,22,30,1.15,1.02,0,364,15
165,グラングリフ,【第1形態】グラングリフ。古代より伝わるグランの力を宿すモンスター。,5,0,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,res://assets/models/parts/tail_spike.tscn,12,0.97,0.97,0.97,69,33,27,25,24,21,0.98,1.01,1,365,15
166,ゼファータイガー,【第1形態】ゼファータイガー。古代より伝わるゼファーの力を宿すモンスター。,6,1,res://assets/models/bases/base_quadruped.tscn,,,res://assets/models/parts/tail_spike.tscn,5,1.03,1.03,1.03,62,35,32,23,22,27,0.82,1.0,2,366,15
167,オーラガル,【第1形態】オーラガル。古代より伝わるオーラの力を宿すモンスター。,7,2,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horn_single.tscn,,res://assets/models/parts/tail_spike.tscn,6,0.98,0.98,0.98,62,37,26,20,32,18,1.14,1.06,3,367,15
168,ファントムゴブ,【第1形態】ファントムゴブ。古代より伝わるファントムの力を宿すモンスター。,8,0,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horn_single.tscn,,,15,1.02,1.02,1.02,63,32,31,25,28,24,0.98,0.8,0,368,15
169,ヴォルカダイナ,【第1形態】ヴォルカダイナ。古代より伝わるヴォルカの力を宿すモンスター。,1,1,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,0,0.97,0.97,0.97,65,35,30,24,23,21,0.9,0.85,1,369,15
170,オーシャンバット,【第1形態】オーシャンバット。古代より伝わるオーシャンの力を宿すモンスター。,2,2,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_dragon.tscn,,1,0.98,0.98,0.98,71,46,30,19,26,24,1.04,0.81,2,370,15
171,ドリアードペガサス,【第1形態】ドリアードペガサス。古代より伝わるドリアードの力を宿すモンスター。,3,0,res://assets/models/bases/base_floating.tscn,res://assets/models/parts/horn_single.tscn,res://assets/models/parts/wings_angel.tscn,res://assets/models/parts/tail_spike.tscn,10,1.0,1.0,1.0,72,34,27,27,22,22,0.9,0.97,3,371,15
172,ライデンビースト,【第1形態】ライデンビースト。古代より伝わるライデンの力を宿すモンスター。,4,1,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,3,1.01,1.01,1.01,62,40,28,19,22,29,1.15,0.82,0,372,15
173,ストーンタートル,【第1形態】ストーンタートル。古代より伝わるストーンの力を宿すモンスター。,5,2,res://assets/models/bases/base_quadruped.tscn,,,,4,0.99,0.99,0.99,66,36,23,29,23,22,0.9,1.06,1,373,15
174,テンペストナイト,【第1形態】テンペストナイト。古代より伝わるテンペストの力を宿すモンスター。,6,0,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horn_single.tscn,,,13,0.97,0.97,0.97,70,37,27,18,27,29,0.94,1.06,2,374,15
175,グローリークロウ,【第1形態】グローリークロウ。古代より伝わるグローリーの力を宿すモンスター。,7,1,res://assets/models/bases/base_biped.tscn,,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,6,1.03,1.03,1.03,71,39,30,22,29,18,1.09,1.18,3,375,15
176,ノワールノッコ,【第1形態】ノワールノッコ。古代より伝わるノワールの力を宿すモンスター。,8,2,res://assets/models/bases/base_biped.tscn,,,,7,0.96,0.96,0.96,64,32,30,18,31,21,1.01,1.2,0,376,15
177,ヒートフェアリー,【第1形態】ヒートフェアリー。古代より伝わるヒートの力を宿すモンスター。,1,0,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,,8,1.0,1.0,1.0,65,32,31,22,27,17,1.15,0.93,1,377,15
178,フロストパピー,【第1形態】フロストパピー。古代より伝わるフロストの力を宿すモンスター。,2,1,res://assets/models/bases/base_quadruped.tscn,,,res://assets/models/parts/tail_spike.tscn,1,0.97,0.97,0.97,66,43,29,25,31,22,1.19,1.0,2,378,15
179,モスケルベ,【第1形態】モスケルベ。古代より伝わるモスの力を宿すモンスター。,3,2,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,2,1.0,1.0,1.0,81,40,27,22,28,18,0.97,1.2,3,379,15
180,プラズマレクス,【第1形態】プラズマレクス。古代より伝わるプラズマの力を宿すモンスター。,4,0,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,11,0.97,0.97,0.97,65,37,24,19,27,27,0.92,1.04,0,380,15
181,テラファング,【第1形態】テラファング。古代より伝わるテラの力を宿すモンスター。,5,1,res://assets/models/bases/base_biped.tscn,,,res://assets/models/parts/tail_spike.tscn,4,0.99,0.99,0.99,72,39,28,31,22,22,1.05,0.97,1,381,15
182,ファルコンタモ,【第1形態】ファルコンタモ。古代より伝わるファルコンの力を宿すモンスター。,6,2,res://assets/models/bases/base_biped.tscn,,,,5,1.01,1.01,1.01,73,32,26,24,27,29,1.12,1.07,2,382,15
183,セレスピクシー,【第1形態】セレスピクシー。古代より伝わるセレスの力を宿すモンスター。,7,0,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_angel.tscn,,14,1.04,1.04,1.04,63,41,30,20,29,18,0.89,1.06,3,383,15
184,ドゥームポロン,【第1形態】ドゥームポロン。古代より伝わるドゥームの力を宿すモンスター。,8,1,res://assets/models/bases/base_floating.tscn,,,,7,0.99,0.99,0.99,70,32,29,25,31,22,0.98,0.83,0,384,15
185,イグニスベア,【第1形態】イグニスベア。古代より伝わるイグニスの力を宿すモンスター。,1,2,res://assets/models/bases/base_quadruped.tscn,,,,0,0.97,0.97,0.97,66,38,33,22,25,18,0.81,0.87,1,385,15
186,シレーヌモコ,【第1形態】シレーヌモコ。古代より伝わるシレーヌの力を宿すモンスター。,2,0,res://assets/models/bases/base_quadruped.tscn,,,,9,1.0,1.0,1.0,69,38,27,22,32,20,1.2,0.91,2,386,15
187,トレントゴブ,【第1形態】トレントゴブ。古代より伝わるトレントの力を宿すモンスター。,3,1,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horn_single.tscn,,,2,1.03,1.03,1.03,76,35,24,23,23,24,0.87,1.09,3,387,15
188,ジゴワットダイナ,【第1形態】ジゴワットダイナ。古代より伝わるジゴワットの力を宿すモンスター。,4,2,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,3,1.04,1.04,1.04,73,37,28,19,26,27,1.14,1.08,0,388,15
189,バサルトバット,【第1形態】バサルトバット。古代より伝わるバサルトの力を宿すモンスター。,5,0,res://assets/models/bases/base_floating.tscn,,res://assets/models/parts/wings_dragon.tscn,,12,1.03,1.03,1.03,71,34,28,27,23,20,1.12,0.89,1,389,15
190,スカイペガサス,【第1形態】スカイペガサス。古代より伝わるスカイの力を宿すモンスター。,6,1,res://assets/models/bases/base_floating.tscn,res://assets/models/parts/horn_single.tscn,res://assets/models/parts/wings_angel.tscn,res://assets/models/parts/tail_spike.tscn,5,1.0,1.0,1.0,66,40,30,25,24,22,0.83,0.96,2,390,15
191,ソレイユビースト,【第1形態】ソレイユビースト。古代より伝わるソレイユの力を宿すモンスター。,7,2,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,6,1.02,1.02,1.02,68,40,29,26,28,19,1.19,1.06,3,391,15
192,シャドウガル,【第1形態】シャドウガル。古代より伝わるシャドウの力を宿すモンスター。,8,0,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horn_single.tscn,,res://assets/models/parts/tail_spike.tscn,15,1.0,1.0,1.0,71,40,32,20,28,19,0.97,1.16,0,392,15
193,フレイムリッチ,【第1形態】フレイムリッチ。古代より伝わるフレイムの力を宿すモンスター。,1,1,res://assets/models/bases/base_biped.tscn,,,,0,0.96,0.96,0.96,62,40,30,22,24,19,0.93,1.08,1,393,15
194,アクアコブラ,【第1形態】アクアコブラ。古代より伝わるアクアの力を宿すモンスター。,2,2,res://assets/models/bases/base_biped.tscn,,,res://assets/models/parts/tail_spike.tscn,1,0.99,0.99,0.99,69,41,24,22,28,25,0.91,1.05,2,394,15
195,リーフコロ,【第1形態】リーフコロ。古代より伝わるリーフの力を宿すモンスター。,3,0,res://assets/models/bases/base_biped.tscn,,,,10,1.01,1.01,1.01,70,40,25,23,24,22,1.14,1.03,3,395,15
196,サンダーワイバーン,【第1形態】サンダーワイバーン。古代より伝わるサンダーの力を宿すモンスター。,4,1,res://assets/models/bases/base_floating.tscn,res://assets/models/parts/horns_dual.tscn,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,3,1.03,1.03,1.03,61,33,23,22,25,29,1.05,0.81,0,396,15
197,ガイアフォックス,【第1形態】ガイアフォックス。古代より伝わるガイアの力を宿すモンスター。,5,2,res://assets/models/bases/base_quadruped.tscn,,,res://assets/models/parts/tail_spike.tscn,4,1.03,1.03,1.03,69,36,27,31,25,23,0.92,0.83,1,397,15
198,ウインドキマイラ,【第1形態】ウインドキマイラ。古代より伝わるウインドの力を宿すモンスター。,6,0,res://assets/models/bases/base_quadruped.tscn,res://assets/models/parts/horns_dual.tscn,res://assets/models/parts/wings_dragon.tscn,res://assets/models/parts/tail_spike.tscn,13,0.96,0.96,0.96,68,38,32,25,25,26,1.04,0.93,2,398,15
199,ホーリーレクス,【第1形態】ホーリーレクス。古代より伝わるホーリーの力を宿すモンスター。,7,1,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/horns_dual.tscn,,res://assets/models/parts/tail_spike.tscn,6,1.02,1.02,1.02,72,37,29,22,32,25,1.02,0.93,3,399,15
200,ダークファング,【第1形態】ダークファング。古代より伝わるダークの力を宿すモンスター。,8,2,res://assets/models/bases/base_biped.tscn,,,res://assets/models/parts/tail_spike.tscn,7,1.0,1.0,1.0,65,39,30,20,27,17,0.92,0.95,0,400,15
201,マグマタモキッド,【第2形態】マグマタモキッド。古代より伝わるマグマの力を宿すモンスター。,1,0,res://assets/models/bases/base_biped.tscn,res://assets/models/parts/crown.tscn,,,8,1.21,1.21,1.21,99,54,53,35,39,29,1.0,1.01,1,301,30
